,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
30347,"84,000",0,2014,2021,12,20,내곡동,서초더샵포레,11650,114.71,12
30348,"66,150",0,2014,2021,12,22,내곡동,서초더샵포레,11650,101.31,2
30349,"74,970",0,2015,2021,12,22,내곡동,서초포레스타2단지,11650,84.48,21
30350,"57,000",0,2014,2021,12,23,내곡동,서초더샵포레,11650,59.94,18
30351,"83,000",0,2015,2021,12,28,내곡동,서초포레스타2단지,11650,59.09,16
30352,"57,750",0,2014,2021,12,1,신원동,서초포레스타3단지,11650,59.96,6
30353,"5,724",18,2015,2021,12,1,신원동,서초 선포레,11650,21.58,3
30354,"8,172",26,2015,2021,12,1,신원동,서초 선포레,11650,29.26,2
30355,"10,752",13,2015,2021,12,1,신원동,서초 선포레,11650,29.26,2
30356,"7,534",9,2015,2021,12,1,신원동,서초 선포레,11650,21.58,3
30357,"10,752",13,2015,2021,12,2,신원동,서초 선포레,11650,29.26,2
30358,"8,172",26,2015,2021,12,2,신원동,서초 선포레,11650,29.26,2
30359,"60,000",80,2015,2021,12,2,신원동,서초포레스타6단지,11650,59.93,7
30360,"7,534",9,2015,2021,12,3,신원동,서초 선포레,11650,21.58,5
30361,"5,724",18,2015,2021,12,3,신원동,서초 선포레,11650,21.58,5
30362,"8,172",26,2015,2021,12,6,신원동,서초 선포레,11650,29.26,2
30363,"33,061",0,2013,2021,12,9,신원동,서초포레스타7단지,11650,84.33,3
30364,"23,331",0,2013,2021,12,10,신원동,서초포레스타7단지,11650,49.39,5
30365,"95,000",0,2014,2021,12,11,신원동,서초포레스타5단지,11650,84.41,11
30366,"129,000",0,2014,2021,12,14,신원동,힐스테이트 서초 젠트리스,11650,101.9,9
30367,"13,067",0,2015,2021,12,16,신원동,서초포레스타6단지,11650,49.34,5
30368,"13,067",0,2015,2021,12,16,신원동,서초포레스타6단지,11650,49.75,4
30369,"23,331",0,2013,2021,12,16,신원동,서초포레스타7단지,11650,49.39,3
30370,"23,331",0,2013,2021,12,16,신원동,서초포레스타7단지,11650,49.39,6
30371,"23,331",0,2013,2021,12,16,신원동,서초포레스타7단지,11650,49.39,6
30372,"23,331",0,2013,2021,12,16,신원동,서초포레스타7단지,11650,49.39,1
30373,"23,331",0,2013,2021,12,16,신원동,서초포레스타7단지,11650,49.39,2
30374,"23,331",0,2013,2021,12,17,신원동,서초포레스타7단지,11650,49.39,5
30375,"28,053",0,2013,2021,12,18,신원동,서초포레스타7단지,11650,59.94,4
